name,hts_code,origin_country,annual_spend
Laptops,8471.30,CN,250000
Steel Pipes,7304.31,RU,180000
Coffee Beans,0901.11,BR,50000
Semiconductors,8542.31,TW,400000
T-Shirts,6109.10,BD,75000
Solar Panels,8541.40,CN,320000
Aluminum Sheets,7606.11,CN,95000
Crude Oil,2709.00,RU,500000
Car Parts,8708.99,MX,210000
Rubber Gloves,4015.11,MY,40000
Pharmaceuticals,3004.90,IN,130000
Cotton Fabric,5208.11,CN,88000
Furniture,9403.60,VN,62000
Copper Wire,8544.11,CL,77000
Electric Motors,8501.10,CN,145000
Soybeans,1201.90,BR,90000
Aircraft Parts,8803.30,FR,275000
Chemical Compounds,2902.90,DE,115000
Lithium Batteries,8507.60,CN,380000
Wooden Pallets,4415.10,CA,35000
